Epoch,Avg Train Loss,Avg Validation Loss
0,0.040165146578635486,0.03631410220017036
1,0.027726158616798266,0.03508114876846472
2,0.02276486719825438,0.03333042717228333
3,0.02031805678137711,0.030459681370606024
4,0.018350447937846185,0.028836230436960857
5,0.017358754564608846,0.0298849248016874
6,0.0167624868825078,0.03213665386041006
7,0.015952054411172867,0.029822828092922766
8,0.015059927473110812,0.030740085523575544
9,0.01427909408829042,0.02994091312090556
10,0.013920396281672376,0.029363320985188086
11,0.013839776563857284,0.030844056823601324
12,0.013106570983571665,0.03078799492989977
13,0.013298916414912258,0.029496732633560896
14,0.013263975267431566,0.030002400744706392
15,0.01267393267314349,0.03134718087191383
16,0.012616497576236724,0.030347564723342657
17,0.012131092354123081,0.0302029134084781
18,0.012026826204465968,0.03039566846564412
19,0.012171792544956718,0.028785180455694597
